progress,score,time
0.017837422,0.971303422,1.122510672
0.036092565,0.999043861,2.252524853
0.054434577,0.985826062,3.378466845
0.072998808,0.973547438,4.504777908
0.091372997,0.963165071,5.634477854
0.109670875,0.953172647,6.765718699
0.128197421,0.943707166,7.893179893
0.146415748,0.934696451,9.018268824
0.164552487,0.926114555,10.144432783
0.182892144,0.917404051,11.274185896
0.201138332,0.909057538,12.404011011
0.219180198,0.900955952,13.529363871
0.237230167,0.892963038,14.655171871
0.255418065,0.885063429,15.784900904
0.273475702,0.877372953,16.915495872
0.291783961,0.869596142,18.047483921
0.309751086,0.862041375,19.172997713
0.328057735,0.854538976,20.306066990
0.346472908,0.847075227,21.439528942
0.364874324,0.839691050,22.574386835
0.382835942,0.832548761,23.702362776
0.400883502,0.825498785,24.835347891
0.419103744,0.818473140,25.973302841
0.437504403,0.811458960,27.111294985
0.455748843,0.804622117,28.246399879
0.474109292,0.797787294,29.385701895
0.492615543,0.791003547,30.527647972
0.510851938,0.784365409,31.669067621
0.529438013,0.777706510,32.810288906
0.547906814,0.771186242,33.954581022
0.565935261,0.764842255,35.096843004
0.584160410,0.758535873,36.236738682
0.602349297,0.752333840,37.376631737
0.620610128,0.746164943,38.520746946
0.638819920,0.740072466,39.665580750
0.657035828,0.734079259,40.811292887
0.675360051,0.728093920,41.958673954
0.693610298,0.722214232,43.102702856
0.712000896,0.716348184,44.248034716
0.730514647,0.710534512,45.401044846
0.748902772,0.704830069,46.554947853
0.767304567,0.699186458,47.712216854
0.785665913,0.693579330,48.865931749
0.804087307,0.688050631,50.025610924
0.822727317,0.682519851,51.189423800
0.841498511,0.677002822,52.353325844
0.860554677,0.671492850,53.520324707
0.879519827,0.666044352,54.687167883
0.898894329,0.660606432,55.870618820
0.918016842,0.655220035,57.042251825
0.937644925,0.649780594,58.224264860
0.957535036,0.644413939,59.414994955
0.976710582,0.639186054,60.608140707
0.995822809,0.634090822,61.802676916
1.012112225,0.636212489,62.994571686
1.030504582,0.642840090,64.181925774
1.049016905,0.649383474,65.372369766
1.067734245,0.655877695,66.568472862
1.086617964,0.662311452,67.766274691
1.105294757,0.668556511,68.959413052
1.124063279,0.674712372,70.157334805
1.142627882,0.680686743,71.359568834
1.161435681,0.686637277,72.561917782
1.180264439,0.692484000,73.768992662
1.199162296,0.698231914,74.979775906
1.217956205,0.703846358,76.189049721
1.236920950,0.709408059,77.403943777
1.255676715,0.714799843,78.619726896
1.274266483,0.720062719,79.831760883
1.293462786,0.725379350,81.042847872
1.313016189,0.730708619,82.260984659
1.332688662,0.735938776,83.482101917
1.352213710,0.741027616,84.714684963
1.371094927,0.745879565,85.939847946
1.390243534,0.750693791,87.167593956
1.409124536,0.755356993,88.396231890
1.428286942,0.759994962,89.624096632
1.447093043,0.764475055,90.848991871
1.466248438,0.768939344,92.075485945
1.485084371,0.773252300,93.302771807
1.504066470,0.777509209,94.534595728
1.523112278,0.781709896,95.767140865
1.542018656,0.785798770,97.000183821
1.561389923,0.789908181,98.230541706
1.581207435,0.794028210,99.461851835
1.601044530,0.798074986,100.690475702
1.620502472,0.801963033,101.927676916
1.639481007,0.805686827,103.161273718
1.658620969,0.809371011,104.396557808
1.677540254,0.812940515,105.630811930
1.696780997,0.816502850,106.864004850
1.715891135,0.819982717,108.096272945
1.734854768,0.823362580,109.329611063
1.754005875,0.826708499,110.564943790
1.772968638,0.829966795,111.794444799
1.791979488,0.833165671,113.027953863
1.811514552,0.836397163,114.260102749
1.831546042,0.839638687,115.492005825
1.851304145,0.842776565,116.728329897
1.870523556,0.845769119,117.968575001
1.889478999,0.848666433,119.201239824
1.908704149,0.851546356,120.437869787
1.927653358,0.854332659,121.675705910
